"Notes"	"Single Race 6"	"Single Race 6 Code"	"Sex"	"Sex Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	"50-54 years"	"50-54"	661	117986	560.2
	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	"55-59 years"	"55-59"	834	111425	748.5
	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	"60-64 years "	"60-64"	1045	94172	1109.7
	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	"65-69 years"	"65-69"	1177	73407	1603.4
	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	"70-74 years"	"70-74"	1145	53442	2142.5
	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	"75-79 years"	"75-79"	981	33306	2945.4
	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	"80-84 years"	"80-84"	962	21389	4497.6
	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"< 1 year"	"1"	259	33007	784.7
	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"1-4 years"	"1-4"	52	136442	38.1
	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"5-9 years"	"5-9"	28	166265	16.8
	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"10-14 years"	"10-14"	38	160527	23.7
	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"15-19 years"	"15-19"	126	154280	81.7
	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"20-24 years"	"20-24"	289	155767	185.5
	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"25-29 years"	"25-29"	391	173229	225.7
	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"30-34 years"	"30-34"	432	188720	228.9
	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"35-39 years"	"35-39"	531	181049	293.3
	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"40-44 years"	"40-44"	585	154699	378.2
	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"45-49 years"	"45-49"	797	130904	608.8
	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"50-54 years"	"50-54"	988	118593	833.1
	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"55-59 years"	"55-59"	1190	108122	1100.6
	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"60-64 years "	"60-64"	1375	90760	1515.0
	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"65-69 years"	"65-69"	1429	67174	2127.3
	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"70-74 years"	"70-74"	1374	49230	2791.0
	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"75-79 years"	"75-79"	1038	29325	3539.6
	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"80-84 years"	"80-84"	835	16676	5007.2
	"White"	"2106-3"	"Female"	"F"	"< 1 year"	"1"	27455	6375698	430.6
	"White"	"2106-3"	"Female"	"F"	"1-4 years"	"1-4"	5126	26576149	19.3
	"White"	"2106-3"	"Female"	"F"	"5-9 years"	"5-9"	3310	34945838	9.5
	"White"	"2106-3"	"Female"	"F"	"10-14 years"	"10-14"	4693	36787598	12.8
	"White"	"2106-3"	"Female"	"F"	"15-19 years"	"15-19"	11486	37881017	30.3
	"White"	"2106-3"	"Female"	"F"	"20-24 years"	"20-24"	19844	38884594	51.0
	"White"	"2106-3"	"Female"	"F"	"25-29 years"	"25-29"	29831	40445491	73.8
	"White"	"2106-3"	"Female"	"F"	"30-34 years"	"30-34"	42752	40660879	105.1
